| 정책 이벤트 | 연도 | 설치자에게 미치는 영향 | 금융기관에 미치는 영향 | 전자상거래에 미치는 영향 | O&M에 미치는 영향 |
|---|---|---|---|---|---|
| 0.42 CNY/kWh 분산형 FIT | 2013 | 주거용 설치 시장 창출 | 20년 동안 은행 가능한 수익 실현 | 장비 수요 증가 | 무시할 수 있음(시장 초기) |
| 태양광 빈곤 완화 프로그램 | 2014 | 농촌마을채널 개설 | 정부 지원 수익원 | 제한적(정부조달) | 농촌 O&M 수요 창출 |
| 13차 5개년 계획 태양광 타겟 | 2016 | 5년 계획 기간; 지방 붐 | 강력한 투자자 신뢰 | 조달량 기록 | 파이프라인 가시성 |
| 2017 분산 붐 | 2017 | 최대 채용 및 수익; 자르기 전에 서둘러 | 신속한 자본 배치 | 최대 거래량 | 백로그 생성됨 |
| 531 새 정책 | 2018-05 | 대량 계약 취소 통합 | 마진콜; 모델 개정 | 가격폭락; 볼륨 붕괴 | 기존 기초 절연 |
| 그리드 패리티 이니셔티브 | 2019 | 저가 사업자만이 살아남는다 | 장기 고정 가격 계약 | 안정적이지만 느린 성장 | 품질 O&M 필요 |
| 시 주석의 탄소중립 공약 | 2020-09 | 정치적 권한; 투자자 수익 | 주식시장 재평가 | 성장 신호 갱신 | 장기수요 확보 |
| 카운티 전체 옥상(整县推进) | 2021 | SOE가 지배적입니다. 민간기업 하청계약 | 대규모 포트폴리오 파이낸싱 | 장비 B2B 성장 | 카운티 규모 계약 |
| 제14회 FYP 신재생에너지 | 2022 | C&I 및 농업 발전 확장 | 다양한 자산 클래스 | 농업용 장비 틈새 시장 | 소프트웨어 확장 필요 |
| 보조금 이후 주거붐 | 2023 | 역대 설치실적 | BNPL 및 대출상품 | 높은 거래량, 낮은 마진 | 200GW 이상 관리 |
| 그리드 제한 구역 | 2023-24 | 지리적 변동성 지방은 다양화 | 수율 개정 하향 | 수요는 지리적으로 변화합니다 | 축소 모니터링의 가치 |
| NEA 최종 분산 규칙 | 2025년 | 시장 참여 준수 비용 | 은행가능성 분석 복잡성 | 녹색 인증 거래 플랫폼 | 데이터 보고 요구 사항 |
